t,model,average,arc,hellaswag,mmlu,truthfulqa,winogrande,gsm8k,type,architecture,weight_type,precision,merged,hub_license,params_b,hub_hearts,available_on_the_hub,model_sha,flagged,moe,date,fullname,url
💬,azarafrooz/mistral-7b-selfplay-v0,57.82,54.69,75.69,55.4,56.28,73.64,31.24,"💬 chat models (RLHF, DPO, IFT, ...)",?,Adapter,bfloat16,TRUE,apache-2.0,7,0,TRUE,f953e2d8749d9dec967dd05d6e649c7c25a9fb23,TRUE,TRUE,2024-03-05T18:13:21Z,azarafrooz/mistral-7b-selfplay-v0,https://huggingface.co/azarafrooz/mistral-7b-selfplay-v0
🔶,s3nh/Noromaid-Aeryth-7B,57.82,56.74,78.62,57.29,65.66,71.82,16.76,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,FALSE,apache-2.0,7,3,TRUE,e87dbfaf98d6d9422f3a16b10c8005801b28b139,TRUE,TRUE,2024-01-08T09:26:04Z,s3nh/Noromaid-Aeryth-7B,https://huggingface.co/s3nh/Noromaid-Aeryth-7B
🔶,Sao10K/Stheno-V2-Delta-fp16,57.81,62.46,83.45,59.04,55.25,73.88,12.81,🔶 fine-tuned on domain-specific datasets,Unknown,Original,float16,TRUE,"",13,0,FALSE,3979769be8d92aa2dd0c7aebf385635863f16dd9,TRUE,TRUE,2023-11-27T00:45:24Z,Sao10K/Stheno-V2-Delta-fp16,https://huggingface.co/Sao10K/Stheno-V2-Delta-fp16
?,Sao10K/Stheno-v2-Delta-fp16,57.81,62.46,83.45,59.04,55.25,73.88,12.81,"",LlamaForCausalLM,Original,float16,FALSE,llama2,13,1,TRUE,3979769be8d92aa2dd0c7aebf385635863f16dd9,TRUE,TRUE,2023-11-27T00:45:50Z,Sao10K/Stheno-v2-Delta-fp16,https://huggingface.co/Sao10K/Stheno-v2-Delta-fp16
🔶,DeepMount00/Mistral-RAG,57.8,52.9,81.58,23.12,62.48,73.88,52.84,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,TRUE,apache-2.0,7,11,TRUE,75ce554cdf27f9ade2476df5b20c99554c74fd11,TRUE,TRUE,2024-04-26T07:47:15Z,DeepMount00/Mistral-RAG,https://huggingface.co/DeepMount00/Mistral-RAG
🔶,failspy/Llama-3-8B-Instruct-MopeyMule,57.79,55.97,75.59,59.6,50.19,74.11,31.24,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,TRUE,other,8,42,TRUE,d1cbf407efe727c6b9fc94f22d51ff4915e1856e,TRUE,TRUE,2024-05-31T06:56:18Z,failspy/Llama-3-8B-Instruct-MopeyMule,https://huggingface.co/failspy/Llama-3-8B-Instruct-MopeyMule
🔶,ALBADDAWI/DeepCode-7B-Aurora,57.78,53.33,70.12,54.28,42.19,66.22,60.58,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,TRUE,mit,6,0,TRUE,346ab7a39a216edfaba9e84fa3eac9664bebdf23,TRUE,TRUE,2024-04-10T14:03:01Z,ALBADDAWI/DeepCode-7B-Aurora,https://huggingface.co/ALBADDAWI/DeepCode-7B-Aurora
🤝,NotAiLOL/Boundary-Coder-Yi-2x6B-MoE,57.76,56.83,78.16,64.29,49.82,72.61,24.87,🤝 base merges and moerges,MixtralForCausalLM,Original,bfloat16,FALSE,apache-2.0,10,0,TRUE,32582ac0c0c23b343418e593d526d15748f997fc,TRUE,FALSE,2024-04-22T05:33:30Z,NotAiLOL/Boundary-Coder-Yi-2x6B-MoE,https://huggingface.co/NotAiLOL/Boundary-Coder-Yi-2x6B-MoE
🔶,Weyaxi/Stellaris-internlm2-20b-r128,57.76,61.26,81.75,65.67,52.5,85.24,0.15,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,TRUE,"",20,0,FALSE,b63187a2a0489f0b6768efe4b8e28381c3bcf025,TRUE,TRUE,2024-01-21T23:59:43Z,Weyaxi/Stellaris-internlm2-20b-r128,https://huggingface.co/Weyaxi/Stellaris-internlm2-20b-r128
💬,Weyaxi/ChatAYT-Lora-Assamble-Marcoroni,57.76,62.46,83.05,58.72,56.12,77.35,8.87,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,float16,TRUE,"",13,1,FALSE,51c9b600023cd26c4eb3754b9a89c60dde959ccc,TRUE,TRUE,2023-10-16T12:48:18Z,Weyaxi/ChatAYT-Lora-Assamble-Marcoroni,https://huggingface.co/Weyaxi/ChatAYT-Lora-Assamble-Marcoroni
🔶,OpenBuddy/openbuddy-llama2-13b-v8.1-fp16,57.76,55.97,79.79,54.95,51.16,74.35,30.33,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,TRUE,,13,63,FALSE,b51c6b29abdf7c420cb5e5f4f309ff83179c7bb8,TRUE,TRUE,2023-09-09T10:52:17Z,OpenBuddy/openbuddy-llama2-13b-v8.1-fp16,https://huggingface.co/OpenBuddy/openbuddy-llama2-13b-v8.1-fp16
🔶,Open-Orca/OpenOrcaxOpenChat-Preview2-13B,57.76,62.37,82.96,58.68,51.23,77.19,14.1,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,TRUE,llama2,13,103,TRUE,26d1bc5c54c1f60a5de0b1ed4d0b16f285aee230,TRUE,TRUE,2023-09-09T10:52:17Z,Open-Orca/OpenOrcaxOpenChat-Preview2-13B,https://huggingface.co/Open-Orca/OpenOrcaxOpenChat-Preview2-13B
🔶,Undi95/MLewd-L2-Chat-13B,57.75,62.03,84.19,58.75,52.84,77.43,11.3,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,TRUE,cc-by-nc-4.0,13,31,TRUE,6c66622a99c1bc73498aa6a15a59da825d875310,TRUE,TRUE,2023-11-06T10:31:15Z,Undi95/MLewd-L2-Chat-13B,https://huggingface.co/Undi95/MLewd-L2-Chat-13B
🔶,JosephusCheung/Pwen-14B-Chat-20_30,57.74,56.14,79.78,60.01,47.02,76.48,26.99,🔶 fine-tuned on domain-specific datasets,Unknown,Original,bfloat16,TRUE,"",14,0,FALSE,e878e1f1f7b533c32beb8e06ebcf0cfa23f3fe9b,TRUE,TRUE,2023-10-16T12:54:17Z,JosephusCheung/Pwen-14B-Chat-20_30,https://huggingface.co/JosephusCheung/Pwen-14B-Chat-20_30
💬,chujiezheng/zephyr-7b-dpo-full-ExPO,57.73,62.29,84.9,59.01,50.08,76.16,13.95,"💬 chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,bfloat16,TRUE,apache-2.0,7,0,TRUE,c951e9a8aeeaa46468aa7fd7cd3217b43c0a33e0,TRUE,TRUE,2024-04-28T04:45:37Z,chujiezheng/zephyr-7b-dpo-full-ExPO,https://huggingface.co/chujiezheng/zephyr-7b-dpo-full-ExPO
🔶,ai-business/Luban-13B,57.73,63.05,82.8,58.73,55.53,76.56,9.7,🔶 fine-tuned on domain-specific datasets,Unknown,Original,float16,TRUE,"",12,0,FALSE,01b0f2046083dd8d9d8f9e626d78d83eaa1d57dd,TRUE,TRUE,2023-10-16T12:48:18Z,ai-business/Luban-13B,https://huggingface.co/ai-business/Luban-13B
🤝,Kabster/Bio-Mistralv2-Squared,57.73,63.31,84.02,60.08,60.98,77.9,0.08,🤝 base merges and moerges,MistralForCausalLM,Original,float16,FALSE,apache-2.0,7,1,TRUE,77aa25e74e78c21e5ede5411d38e819d70d5ba9d,TRUE,TRUE,2024-03-09T06:49:58Z,Kabster/Bio-Mistralv2-Squared,https://huggingface.co/Kabster/Bio-Mistralv2-Squared
🔶,jondurbin/airoboros-33b-gpt4-1.2,57.69,64.42,84.93,60.35,49.18,77.51,9.78,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,TRUE,cc-by-nc-4.0,33,9,TRUE,b3254a827fb1dfe0d4e428bf5ab1c3a2bac82d68,TRUE,TRUE,2023-09-09T10:52:17Z,jondurbin/airoboros-33b-gpt4-1.2,https://huggingface.co/jondurbin/airoboros-33b-gpt4-1.2
🔶,digitous/Alpacino30b,57.67,62.71,85.04,58.48,44.23,79.79,15.77,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,TRUE,other,30,68,TRUE,300bc5f3dc129a3d17adf059394e381eff7fbd55,TRUE,TRUE,2023-10-16T12:48:18Z,digitous/Alpacino30b,https://huggingface.co/digitous/Alpacino30b
🔶,qblocks/mistral_7b_DolphinCoder,57.67,59.73,81.64,59.87,43.95,74.59,26.23,🔶 fine-tuned on domain-specific datasets,Unknown,Adapter,float16,TRUE,"",7,0,FALSE,7c05d338e0210072e13eb82b023e7747d5354c6e,TRUE,TRUE,2024-01-05T07:15:51Z,qblocks/mistral_7b_DolphinCoder,https://huggingface.co/qblocks/mistral_7b_DolphinCoder
🔶,Zangs3011/mistral_7b_DolphinCoder,57.67,59.73,81.64,59.87,43.95,74.59,26.23,🔶 fine-tuned on domain-specific datasets,Unknown,Adapter,float16,TRUE,"",7,0,FALSE,faac4b13e74395ea4b366156fd8bed15498c667c,TRUE,TRUE,2023-12-22T04:12:56Z,Zangs3011/mistral_7b_DolphinCoder,https://huggingface.co/Zangs3011/mistral_7b_DolphinCoder
🤝,Kabster/Bio-Mistralv2-Squared,57.66,62.97,84.02,60.08,60.99,77.74,0.15,🤝 base merges and moerges,MistralForCausalLM,Original,bfloat16,FALSE,apache-2.0,7,1,TRUE,77aa25e74e78c21e5ede5411d38e819d70d5ba9d,TRUE,TRUE,2024-03-10T03:58:36Z,Kabster/Bio-Mistralv2-Squared,https://huggingface.co/Kabster/Bio-Mistralv2-Squared
💬,ghost-x/ghost-7b-alpha,57.65,54.86,76.1,50.71,44.63,71.9,47.69,"💬 chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,bfloat16,TRUE,other,7,5,TRUE,6b721bb35bbf0d8d7c95d92ac92685b5a16c1609,TRUE,FALSE,2024-04-23T06:57:30Z,ghost-x/ghost-7b-alpha,https://huggingface.co/ghost-x/ghost-7b-alpha
🤝,saucam/Athena-8B,57.64,62.12,83.29,65.12,57.52,77.43,0.38,🤝 base merges and moerges,LlamaForCausalLM,Original,float16,FALSE,apache-2.0,8,0,TRUE,612bce9dc5da1bc32c813dcd4d6fe104e1921ca6,TRUE,TRUE,2024-05-05T04:26:11Z,saucam/Athena-8B,https://huggingface.co/saucam/Athena-8B
🔶,hamxea/Llama-2-13b-chat-hf-activity-fine-tuned-v4,57.64,59.22,81.67,54.51,43.82,75.06,31.54,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,TRUE,other,13,0,TRUE,3536f3ba1dd84a732958ea563f2a70ecdbb03bcd,TRUE,TRUE,2024-03-31T14:25:05Z,hamxea/Llama-2-13b-chat-hf-activity-fine-tuned-v4,https://huggingface.co/hamxea/Llama-2-13b-chat-hf-activity-fine-tuned-v4
🔶,boomerchan/magpie-13b,57.64,63.31,84.25,58.15,49.15,76.48,14.48,🔶 fine-tuned on domain-specific datasets,Unknown,Original,float16,TRUE,"",12,0,FALSE,a58124cdc9f39ccd59d4290a8bdfda93ff3690dc,TRUE,TRUE,2023-10-16T12:54:17Z,boomerchan/magpie-13b,https://huggingface.co/boomerchan/magpie-13b
🔶,splm/zephyr-7b-sft-full-spin-peft-iter1,57.63,57.94,80.78,60.23,41.8,76.24,28.81,🔶 fine-tuned on domain-specific datasets,?,Adapter,float16,TRUE,mit,7,0,TRUE,bdc360638c254864af30b5c0e6ff9a7b19e51b46,TRUE,TRUE,2024-02-06T00:05:16Z,splm/zephyr-7b-sft-full-spin-peft-iter1,https://huggingface.co/splm/zephyr-7b-sft-full-spin-peft-iter1
🔶,splm/zephyr-7b-sft-full-spin-peft-iter2,57.63,58.02,80.77,60.22,41.79,76.48,28.51,🔶 fine-tuned on domain-specific datasets,?,Adapter,float16,TRUE,mit,7,0,TRUE,a07fc6ae0f9729767e2cedb229a515e7d84bd87f,TRUE,TRUE,2024-02-06T00:05:44Z,splm/zephyr-7b-sft-full-spin-peft-iter2,https://huggingface.co/splm/zephyr-7b-sft-full-spin-peft-iter2
🔶,deepseek-ai/deepseek-math-7b-base,57.61,52.22,69.49,57.25,40.71,66.77,59.21,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,TRUE,other,7,28,TRUE,036a8c6189aac6e2fc4e07b46e1e57c6b647bca5,TRUE,TRUE,2024-03-15T09:20:43Z,deepseek-ai/deepseek-math-7b-base,https://huggingface.co/deepseek-ai/deepseek-math-7b-base
🔶,l3utterfly/mistral-7b-v0.1-layla-v2,57.6,56.31,79.76,50.81,51.57,75.77,31.39,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,TRUE,apache-2.0,7,0,TRUE,1e0dc1ba4a198773c2d47d0c8142aef1649f8c33,TRUE,TRUE,2023-12-16T06:41:07Z,l3utterfly/mistral-7b-v0.1-layla-v2,https://huggingface.co/l3utterfly/mistral-7b-v0.1-layla-v2
🔶,TheBloke/Orca-2-13B-GPTQ,57.6,59.81,79.12,59.35,55.14,76.64,15.54,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,GPTQ,TRUE,other,16,27,TRUE,2fc627e11b197c7d563eeea9c4338c2adc8e2c93,TRUE,FALSE,2023-11-21T18:05:52Z,TheBloke/Orca-2-13B-GPTQ,https://huggingface.co/TheBloke/Orca-2-13B-GPTQ
🔶,ab24g21/LaterLlamaV2,57.6,59.04,81.82,54.53,44.15,76.09,29.95,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,TRUE,"",13,0,FALSE,66f0995de46d9407f1aa6baa185c6d03e7542ca1,TRUE,TRUE,2024-03-29T16:47:29Z,ab24g21/LaterLlamaV2,https://huggingface.co/ab24g21/LaterLlamaV2
🔶,steve-cse/MelloGPT,57.59,53.84,76.12,55.99,55.61,73.88,30.1,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,TRUE,mit,0,10,TRUE,aedecb296e2cdcb3da95a345a794ea26f071c419,TRUE,TRUE,2023-12-16T08:12:17Z,steve-cse/MelloGPT,https://huggingface.co/steve-cse/MelloGPT
💬,Delcos/Velara-11B-v3,57.58,57.51,75.7,65.85,50.19,74.27,21.99,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,float16,TRUE,cc-by-nc-nd-4.0,11,1,TRUE,520bc78f0ac46e7cce264d0e8363be69e1b5b8f5,TRUE,TRUE,2024-05-24T21:08:58Z,Delcos/Velara-11B-v3,https://huggingface.co/Delcos/Velara-11B-v3
?,l3utterfly/mistral-7b-v0.1-layla-v1,57.56,60.15,83.25,60.31,48.9,75.93,16.83,"",MistralForCausalLM,Original,float16,TRUE,apache-2.0,7,0,TRUE,5f06add6aa1d51d78288dbdcbd1abfd5f0ed0c84,TRUE,TRUE,2023-11-16T03:33:47Z,l3utterfly/mistral-7b-v0.1-layla-v1,https://huggingface.co/l3utterfly/mistral-7b-v0.1-layla-v1
💬,PotatoOff/Michel-13B,57.56,61.26,83.21,55.05,50.43,75.22,20.17,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,float16,TRUE,agpl-3.0,13,2,TRUE,2d7bb01004f3bec6c4f4cfd27b9b896f5fa464a7,TRUE,TRUE,2024-01-30T22:41:46Z,PotatoOff/Michel-13B,https://huggingface.co/PotatoOff/Michel-13B
🔶,alignment-handbook/zephyr-7b-sft-full,57.56,57.68,80.82,60.31,41.71,76.09,28.73,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,TRUE,apache-2.0,7,20,TRUE,92f9fac4529acacb2c33a35c46917393690c6311,TRUE,TRUE,2024-01-16T02:43:13Z,alignment-handbook/zephyr-7b-sft-full,https://huggingface.co/alignment-handbook/zephyr-7b-sft-full
💬,rinna/llama-3-youko-8b,57.55,54.44,79.91,60.9,41.05,74.59,34.42,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,float16,TRUE,llama3,8,43,TRUE,67cde2a5a224f0792637308d9085ee58fe77e129,TRUE,TRUE,2024-05-07T07:29:13Z,rinna/llama-3-youko-8b,https://huggingface.co/rinna/llama-3-youko-8b
🔶,splm/zephyr-7b-sft-full-spin-peft-iter0,57.55,57.94,80.77,60.26,41.79,76.24,28.28,🔶 fine-tuned on domain-specific datasets,?,Adapter,float16,TRUE,mit,7,0,TRUE,2995cd6e9b2780b8a14043fbc4241a81ba6d1feb,TRUE,TRUE,2024-02-06T00:04:37Z,splm/zephyr-7b-sft-full-spin-peft-iter0,https://huggingface.co/splm/zephyr-7b-sft-full-spin-peft-iter0
🔶,leejaymin/etri-ones-solar,57.54,62.63,84.31,63.71,52.69,81.93,0,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,TRUE,mit,0,0,TRUE,40f78570d3ffb88649a52e4933a95525871ba599,TRUE,TRUE,2024-04-03T01:03:21Z,leejaymin/etri-ones-solar,https://huggingface.co/leejaymin/etri-ones-solar
🔶,Undi95/PsyMedRP-v1-20B,57.54,60.49,83.94,56.68,54.45,74.82,14.86,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,TRUE,cc-by-nc-4.0,19,33,TRUE,78188101b6331d9e61ef80f0971d715de100b44a,TRUE,TRUE,2024-02-16T03:59:10Z,Undi95/PsyMedRP-v1-20B,https://huggingface.co/Undi95/PsyMedRP-v1-20B
🔶,ab24g21/llama-2-new,57.54,58.7,81.54,54.59,44.58,76.09,29.72,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,TRUE,"",0,0,FALSE,663384b17e7156a858e2f8fdfd7e3ea4bdce105f,TRUE,TRUE,2024-03-29T16:49:55Z,ab24g21/llama-2-new,https://huggingface.co/ab24g21/llama-2-new
?,TheBloke/tulu-30B-fp16,57.53,59.98,83.4,56.1,45.14,80.82,19.71,"",LlamaForCausalLM,Original,float16,TRUE,other,30,5,TRUE,37c3655676c37662f60c68dacfce3f0e861be846,TRUE,TRUE,2023-09-09T10:52:17Z,TheBloke/tulu-30B-fp16,https://huggingface.co/TheBloke/tulu-30B-fp16
🔶,timpal0l/Mistral-7B-v0.1-flashback-v2,57.53,57.17,80.74,59.98,40.66,77.19,29.42,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,TRUE,mit,7,6,TRUE,2711647da9d8da18d746406d60ad8d806b7f1fd7,TRUE,TRUE,2024-01-11T14:20:16Z,timpal0l/Mistral-7B-v0.1-flashback-v2,https://huggingface.co/timpal0l/Mistral-7B-v0.1-flashback-v2
🔶,uukuguy/speechless-llama2-hermes-orca-platypus-wizardlm-13b,57.52,59.64,82.7,58.3,56,75.37,13.12,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,TRUE,,13,32,FALSE,4410d8a20871927e9fe981c01bc8314b451b2fcd,TRUE,TRUE,2023-09-09T10:52:17Z,uukuguy/speechless-llama2-hermes-orca-platypus-wizardlm-13b,https://huggingface.co/uukuguy/speechless-llama2-hermes-orca-platypus-wizardlm-13b
🔶,alignment-handbook/zephyr-7b-sft-full,57.52,58.11,80.83,60.2,41.74,76.24,27.98,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,TRUE,apache-2.0,7,20,TRUE,92f9fac4529acacb2c33a35c46917393690c6311,TRUE,TRUE,2024-01-16T02:38:43Z,alignment-handbook/zephyr-7b-sft-full,https://huggingface.co/alignment-handbook/zephyr-7b-sft-full
🔶,Zangs3011/mistral_7b_3Epoch_DolphinCoder,57.51,59.22,82.32,57.91,43.7,75.69,26.23,🔶 fine-tuned on domain-specific datasets,?,Adapter,float16,TRUE,apache-2.0,7,0,TRUE,9335fee0bbe38195226c63e3f4aa606bbc387e8d,TRUE,TRUE,2024-01-19T03:29:21Z,Zangs3011/mistral_7b_3Epoch_DolphinCoder,https://huggingface.co/Zangs3011/mistral_7b_3Epoch_DolphinCoder
💬,OpenBuddy/openbuddy-gemma-7b-v18.1-4k,57.49,54.86,75.68,55.56,50.08,68.82,39.95,"💬 chat models (RLHF, DPO, IFT, ...)",GemmaForCausalLM,Original,bfloat16,TRUE,other,8,1,TRUE,be808f073ed32bd95263cd08084b096774aef74e,TRUE,TRUE,2024-02-29T05:45:37Z,OpenBuddy/openbuddy-gemma-7b-v18.1-4k,https://huggingface.co/OpenBuddy/openbuddy-gemma-7b-v18.1-4k
🔶,jilp00/SOLAR-10.7B-tutored,57.49,62.29,82.24,65.09,55.13,80.19,0,🔶 fine-tuned on domain-specific datasets,Unknown,Original,float16,TRUE,"",10,0,FALSE,40e46542b4ec136c76f61008a942000ff030cddc,TRUE,TRUE,2024-01-04T20:34:23Z,jilp00/SOLAR-10.7B-tutored,https://huggingface.co/jilp00/SOLAR-10.7B-tutored
🔶,jondurbin/airoboros-33b-gpt4-1.3,57.49,63.82,85.09,58.94,45.33,79.01,12.74,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,TRUE,cc-by-nc-4.0,33,2,TRUE,f94e5249d2b998933466d42e08fa9551e3238205,TRUE,TRUE,2023-09-09T10:52:17Z,jondurbin/airoboros-33b-gpt4-1.3,https://huggingface.co/jondurbin/airoboros-33b-gpt4-1.3
🔶,xriminact/TarsChattyBasev0.2,57.47,52.22,77.78,47.99,43.79,69.46,53.6,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,TRUE,"",7,0,FALSE,91d90f5feb9c01d8279ed891c72e225356a4ca97,TRUE,TRUE,2024-01-16T13:17:32Z,xriminact/TarsChattyBasev0.2,https://huggingface.co/xriminact/TarsChattyBasev0.2
🔶,Undi95/Unholy-v1-12L-13B,57.47,63.57,83.75,58.08,51.09,77.27,11.07,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,TRUE,cc-by-nc-4.0,13,37,TRUE,ee25c078f08b0812d82597afa3f5e877c19a5c83,TRUE,TRUE,2023-10-16T13:27:38Z,Undi95/Unholy-v1-12L-13B,https://huggingface.co/Undi95/Unholy-v1-12L-13B
🔶,ewqr2130/7B_ppo_phiRM_2GPU_3e-7step_4000,57.46,57.25,80.24,60.06,41.48,76.32,29.42,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,TRUE,apache-2.0,7,0,TRUE,cebca6863a25b48f3a03f5ea65fdbcefcb934314,TRUE,TRUE,2024-01-22T20:42:39Z,ewqr2130/7B_ppo_phiRM_2GPU_3e-7step_4000,https://huggingface.co/ewqr2130/7B_ppo_phiRM_2GPU_3e-7step_4000
🔶,PocketDoc/Dans-AdventurousWinds-7b,57.46,61.01,83.47,63.69,42.65,78.22,15.69,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,TRUE,apache-2.0,7,9,TRUE,ddc7e4fcbbb5c666a3fe1bbe4a47b4477151b699,TRUE,TRUE,2023-10-16T12:48:18Z,PocketDoc/Dans-AdventurousWinds-7b,https://huggingface.co/PocketDoc/Dans-AdventurousWinds-7b
🔶,abhishek/autotrain-xva0j-mixtral8x7b,57.45,62.8,84.44,67.27,50.13,74.59,5.46,🔶 fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,bfloat16,TRUE,other,46,0,TRUE,dc470b098c475a1604d55e197613e5d0bd85859f,TRUE,TRUE,2024-03-31T16:14:50Z,abhishek/autotrain-xva0j-mixtral8x7b,https://huggingface.co/abhishek/autotrain-xva0j-mixtral8x7b
🤝,skfrost19/BioMistralMerged,57.44,62.46,83.97,60.06,60.19,77.9,0.08,🤝 base merges and moerges,MistralForCausalLM,Original,float16,FALSE,apache-2.0,7,0,TRUE,43d05fe8c3bb6633b3790773c96ba7572188539d,TRUE,TRUE,2024-05-10T04:00:31Z,skfrost19/BioMistralMerged,https://huggingface.co/skfrost19/BioMistralMerged
💬,jondurbin/airoboros-33b-gpt4-1.3,57.43,63.91,85.04,58.53,45.36,78.69,13.04,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,bfloat16,TRUE,cc-by-nc-4.0,33,2,TRUE,f94e5249d2b998933466d42e08fa9551e3238205,TRUE,TRUE,2023-09-09T10:52:17Z,jondurbin/airoboros-33b-gpt4-1.3,https://huggingface.co/jondurbin/airoboros-33b-gpt4-1.3
🔶,Undi95/MXLewd-L2-20B,57.43,63.23,85.33,57.36,51.65,76.09,10.92,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,TRUE,cc-by-nc-4.0,19,24,TRUE,ac279478abd9ddb8d1f5adcc548be0287b963adf,TRUE,TRUE,2023-10-16T12:54:17Z,Undi95/MXLewd-L2-20B,https://huggingface.co/Undi95/MXLewd-L2-20B
🤝,oobabooga/CodeBooga-34B-v0.1,57.42,55.29,77.6,54.4,48.12,71.9,37.23,🤝 base merges and moerges,LlamaForCausalLM,Original,float16,TRUE,llama2,33,135,TRUE,8a4e1e16ac46333cbd0c17d733d3d70a956071a6,TRUE,TRUE,2024-04-17T02:50:13Z,oobabooga/CodeBooga-34B-v0.1,https://huggingface.co/oobabooga/CodeBooga-34B-v0.1
🔶,uukuguy/speechless-llama2-luban-orca-platypus-13b,57.42,62.54,82.76,59.23,54.66,77.11,8.19,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,TRUE,,13,3,FALSE,908cfb670611875b52045c4bab81cff53f0279a7,TRUE,TRUE,2023-09-09T10:52:17Z,uukuguy/speechless-llama2-luban-orca-platypus-13b,https://huggingface.co/uukuguy/speechless-llama2-luban-orca-platypus-13b
🔶,CreitinGameplays/ConvAI-9b,57.41,57.51,80.34,56.19,49.54,76.24,24.64,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,FALSE,mit,8,0,TRUE,54b76283444ec0d765e8d116f4b0e7aee6b80687,TRUE,TRUE,2024-05-20T11:51:03Z,CreitinGameplays/ConvAI-9b,https://huggingface.co/CreitinGameplays/ConvAI-9b
💬,vicgalleorg/TruthfulQwen1.5-4B,57.41,47.1,71.32,56.04,50.6,66.85,52.54,"💬 chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,Original,float16,TRUE,apache-2.0,3,3,TRUE,e6dc5fbf051ae3be06259b28cea254e6a76d632e,TRUE,TRUE,2024-03-04T12:57:34Z,vicgalleorg/TruthfulQwen1.5-4B,https://huggingface.co/vicgalleorg/TruthfulQwen1.5-4B
💬,hfl/chinese-alpaca-2-13b,57.41,58.7,79.76,55.12,50.22,75.61,25.02,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,float16,TRUE,apache-2.0,13,84,TRUE,3b2e3895ff83c8892ab20fb8f98754d947879186,TRUE,TRUE,2023-12-06T19:12:52Z,hfl/chinese-alpaca-2-13b,https://huggingface.co/hfl/chinese-alpaca-2-13b
🔶,SkunkworksAI/Mistralic-7B-1,57.4,60.84,82.29,60.8,52.38,77.03,11.07,🔶 fine-tuned on domain-specific datasets,Unknown,Original,float16,TRUE,"",7,26,FALSE,ebf138de4fb7a57f0d187ad0ab43abd6b35bfb62,TRUE,TRUE,2023-10-16T13:00:29Z,SkunkworksAI/Mistralic-7B-1,https://huggingface.co/SkunkworksAI/Mistralic-7B-1
🔶,Xenon1/Zenith-7B,57.39,56.31,81.11,61.3,55.76,77.82,12.05,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,TRUE,apache-2.0,7,0,TRUE,4d49920793f6c408ef75b1032e4ae66df1fae066,TRUE,TRUE,2024-02-13T21:59:49Z,Xenon1/Zenith-7B,https://huggingface.co/Xenon1/Zenith-7B
